,dom_medical,dom_social,train_scratch,size,dom_general,model,arc,f1
600,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7773938795656465
601,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7782217782217783
602,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7843811394891944
603,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7850278199291856
604,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.788328387734916
605,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7842261904761905
606,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7798617966436328
607,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7873078829945465
608,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7783227072094163
609,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7864173228346456
610,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7804037419990152
611,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7804757185332012
612,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.79
613,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7857142857142857
614,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7846076961519239
615,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7853535353535354
616,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7908820614469771
617,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7865792129162462
618,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7835933568193255
619,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7870967741935484
620,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7714708785784798
621,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7884615384615384
622,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7817911924789708
623,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7822222222222223
624,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7878036688150719
625,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.786032689450223
626,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7838773491592482
627,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7785467128027681
628,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7801072647489029
629,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7836633663366338
630,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7660287081339713
631,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7679611650485438
632,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7622478386167146
633,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7683284457478006
634,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7665538907684872
635,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7624521072796935
636,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7648752399232245
637,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7690429687500001
638,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7641464574417499
639,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7619745845552297
640,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7698334965719882
641,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7691931540342298
642,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7587040618955513
643,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7614678899082569
644,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7674641148325358
645,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7584704743465635
646,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7601528905876732
647,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7616084250837721
648,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7559093101784853
649,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.761006289308176
650,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.75717017208413
651,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7677012609117362
652,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7619279454722493
653,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7588516746411483
654,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7663096397273614
655,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7693445046821095
656,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7616279069767443
657,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7658536585365854
658,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7643280632411067
659,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7661764705882353
660,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.8016614745586708
661,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7953964194373401
662,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7934054611025244
663,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7939979654120041
664,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7951991828396323
665,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7934010152284265
666,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7876016260162603
667,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7984732824427482
668,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.8004052684903749
669,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7975460122699387
670,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.8004889975550122
671,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7988826815642458
672,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7962493664470349
673,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7889724310776942
674,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7961654894046418
675,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7990867579908677
676,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7987866531850355
677,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7993795243019649
678,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7894467213114754
679,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7914959016393442
680,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.8007172131147542
681,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7966616084977237
682,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7967887606623181
683,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.797769893563102
684,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7907949790794979
685,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7920841683366735
686,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7935222672064777
687,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7909516380655227
688,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.792004048582996
689,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7953745600804425
690,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7891566265060241
691,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7829573934837093
692,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.783987915407855
693,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7810292633703331
694,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7863545816733069
695,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7813440320962889
696,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7845998993457474
697,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7787128712871287
698,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7815338042381432
699,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7858942065491183
700,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7818003913894324
701,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7749510763209393
702,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7882994546355974
703,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7764530551415797
704,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7808015833745671
705,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7813906953476738
706,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7794190054160511
707,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7751509054325955
708,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7868605817452357
709,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7823439878234398
710,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7847533632286996
711,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7821535393818545
712,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7923771313941825
713,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7825428859737639
714,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7783300198807156
715,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7781655034895314
716,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7890818858560795
717,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7804754678806272
718,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7809099901088032
719,0.0,0.0,1.0,2.0,1.0,ROBERTA,1.0,0.7816377171215881
720,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7914622178606477
721,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7912087912087913
722,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7825047801147227
723,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7916666666666665
724,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7831505483549352
725,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7866732968672302
726,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7988939165409753
727,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7908782144590005
728,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7887822132390095
729,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.8003992015968063
730,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.8003025718608169
731,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.8
732,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7869346733668341
733,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7881227981882236
734,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7825661116552399
735,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7940881763527053
736,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.794757665677547
737,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.799698795180723
738,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7848605577689243
739,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7897058823529413
740,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.796
741,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7931547619047619
742,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.794425087108014
743,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7926890335503255
744,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7950372208436725
745,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7843331680713932
746,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7995991983967935
747,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7937468482097831
748,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7870461236506379
749,0.0,0.0,1.0,2.0,1.0,ELECTRA,1.0,0.7879980324643384
780,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.8020408163265306
781,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7965
782,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7978936810431293
783,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7921321029626032
784,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7814504193389246
785,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7935386168601717
786,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7920642893018583
787,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7942202291978078
788,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7956457199406234
