model,dom_general,dom_medical,dom_social,train_scratch,size_less_100,size_between_100_130,size_over_130,arc_enc,arc_dec,arc_s2s
BERT,1,0,0,1,0,1,0,1,0,0
DISTILBERT,1,0,0,1,1,0,0,1,0,0
SPANBERT,1,0,0,1,0,1,0,1,0,0
ROBERTA,1,0,0,1,0,1,0,1,0,0
ELECTRA,1,0,0,1,0,1,0,1,0,0
ALBERT,1,0,0,1,1,0,0,1,0,0
XLNET,1,0,0,1,0,1,0,0,1,0
GPT2,1,0,0,1,0,1,0,0,1,0
T5,1,0,0,1,0,0,1,0,0,1
PEGASUS,1,0,0,1,0,0,1,0,0,1
BART,1,0,0,1,0,1,0,0,0,1
BERTWEET,0,0,1,1,0,0,1,1,0,0
BIOBERT,1,1,0,0,0,1,0,1,0,0
BIOCLINICALBERT,1,1,0,0,0,1,0,1,0,0
SCIBERT,0,1,0,1,0,1,0,1,0,0
PUBMEDBERT,0,1,0,1,0,1,0,1,0,0
ENDRBERT,0,1,1,0,0,0,1,1,0,0
BIOELECTRA,0,1,0,1,0,1,0,1,0,0
BIOROBERTA,1,1,0,0,0,1,0,1,0,0
SCIFIVE,1,1,0,0,0,0,1,0,0,1
