,tweet_id,user_id,is_ade,text
104,343024383377412098,238286010,0,8. i was never fat on cymbalta
723,344599758691790848,1338597000,0,#quetiapine is not doing it's job tonight. not even slightly drowsy.
888,344246282543579136,66525866,0,"@thelindsayellis @iumogg i take wellbutrin as well. but with effexor, so i have no reduction in cravings. yay for snris."
973,349354071402098688,1535629920,0,but hey at least im not isolating and depressed. thank you lamotrigine
1072,333064111602683904,349832540,0,"i'm sooo glad this paxil is supposed to help me sleep, cause i can never fall asleep when i want too!"
1148,352551907912458245,303193281,0,@brokenmind_ look @ asenapine. rarely prescribed as only in uk a year. been on it 3 weeks &amp; less paranoid/angry/low &amp; no racing thoughts
1321,332870589641527296,328900144,0,@rare_basement have you tried a different sleeping med? maybe an ssri like trazodone - no crazy side effects and less tolerance buildup.
1621,332982124799983617,745380517,0,"@schizophrenicgb i can understand that, the trazodone are a top-up anti-depressant, so they're not addictive, my other ad don't cause sleep"
1708,340939791950544897,341701081,0,the fact that i had to stop taking lamictal really pisses me off because that's the only mood stabilizer left that doesn't cause weight gain
1886,349465225294135296,1075011926,0,@emotionalou my mom didn't get me trazodone so i couldn't sleep sigh
1946,339850391820857344,27883342,0,"so i'm going to try an e-cigarette on friday night. better than an nicotine inhaler, not gonna kill me like a real cigarette #compromise"
2076,352217380262395904,18445104,0,"@grlredballoon @mawilson when i was having anxiety issues, my dr prescribed trazodone. it makes you sleepy to fall asleep but not groggy."
2386,344487779369107458,482514182,0,i can't wake up without my vyvanse
2510,329479450548912128,39844213,0,tired this morning. and no lamotrigine ping effect to rely on. second strong coffee it is then!
2572,344527956586160129,481037438,0,@reesayspieces the new ones are stronger than tysabri without the brain infection risk. they're finding people who are jc neg still get it.
2964,353040661651529728,889967186,0,going to bed with a nicotine patch on... i really hope i don't have a nightmare.......
3062,341388636744458240,75585647,0,i'm not an alcoholic or weed head. if i have a problem there's a pill for that lol (xanax vicodin paxil) wish i could gt tranquilizers
3542,331670997390467072,493783354,0,@sensai_cody ask about trazodone next time you have an appointment dude. you can't overdose on it and 1/6th of the pill will knock me out.
3868,328123669496881152,39844213,0,"@daronjames1 olanzapine takes some time to fully leave your body, i've never had rebound symptoms."
3877,330421449116495873,264148516,0,"mood stabilizer used with bipolar depressed patient is(lamotrigine) cuz it'll not shift them to manic episode,may cause skin rash#psychiatry"
4353,331567355052306432,23664533,0,@lilacugini are nicotine lozenges okay? i've been on them for a few days now. i don't look like a raver and i smell good.
